countyCode,city
LT,Oklahoma City
SA,Las Palmas de Gran Canaria
MS,Mandurah
BE,Porto Velho
MR,Austin
GA,Praia
RE,Enugu
BH,Boston
CD,Horta (Azores)
TK,Cali
UZ,Baghdad
SV,Mashhad
BE,Baku
ER,Naypyidaw
HK,Asmara
KG,Jamestown
PT,Quezon City
JM,Juneau
WS,Adak
MY,Port Hedland
SC,Yaoundé
TN,Makati City
TK,Gothenburg
KM,Porto Alegre
IM,Mexico City
CZ,Port Said
TG,Yamoussoukro
MR,Daegu
MO,Ipoh
MO,Davao City
KW,Lobamba
IS,Abu Dhabi
VG,Honiara
VA,Reykjavík
AS,Ulan Bator
NA,Quebec City
HN,Riverside
EH,Omdurman
NE,Gothenburg
MK,Cincinnati
PK,Maputo
TM,Cartagena
KW,Adana
CV,San Diego
VA,Helsinki
SD,Recife
JO,Phuket (city)
BY,Pittsburgh
BA,Porto Velho
GB,Hagåtña
IN,Geneva
SH,Salzburg
GU,Port Vila
SM,Birmingham
JO,Toronto
PH,Pelotas
DZ,Hangzhou
BI,Lagos
IQ,Tel Aviv
JO,Sacramento
MP,Ljubljana
FK,Yerevan
CH,Ndola
EE,Astana
WS,Incheon
BT,Pago Pago
AZ,Santa Cruz de Tenerife
IM,Linz
FM,St. George's
OM,Tokyo
GQ,Chicago
FM,Nanning
BV,Whitehorse
KP,Marseille
AN,Thiès
AX,Serekunda
LC,Mwanza
SY,Mexicali
PG,Skopje
CR,Valencia
AT,Antwerp
DJ,Valparaíso
NC,Istanbul
EE,Livingstone
DO,George Town
JP,Dongguan
CY,Caracas
IN,Calama
LK,Memphis
PH,Valdivia
LA,Petropavlovsk-Kamchatsky
BY,Punta Arenas
KR,Timbuktu
EE,Osaka
CR,Yogyakarta (city)
SK,Chittagong
KH,Bangalore
BG,Port of Spain
SN,Las Palmas de Gran Canaria
SH,Cape Town
MK,Guadalajara
SA,Colombo
JM,Strasbourg
PW,Salzburg
PS,Santiago
CG,N'Djamena
AM,Suva
TH,Ouagadougou
RU,Macapá
AQ,San Salvador
ZM,Vilnius
JE,Baghdad
SM,Kuwait City
RW,Saipan
LI,Naples
PS,Valletta
VN,Bratislava
FM,Budapest
AG,Horta (Azores)
ZW,Lviv
AR,Ndola
KR,Vancouver
GP,Zamboanga City
CN,Malé
TK,Amritsar
UG,Kuala Lumpur
GY,Fortaleza
SR,Concepción
BJ,Mashhad
CZ,Busan
BZ,Asunción
SL,Panama City
WS,Hargeisa
HT,Dallas
NR,Hanover
LC,Warsaw
BO,Ljubljana
IM,Columbus
SN,Edinburgh
AE,Hangzhou
DJ,Recife
AI,El Aaiún
KE,Stanley
FK,Kathmandu
SK,Rabat
FR,Hai Phong
MH,Bujumbura
BD,Shijiazhuang
TD,Bratislava
TF,Vaduz
TT,Santa Cruz de Tenerife
IN,Nairobi
KN,Naples
IS,Kuching
GB,Murmansk
OM,Brasília
GL,Simferopol
BI,Monrovia
PN,Dhaka
YE,Taichung
VG,Lusaka
NR,Vaduz
MA,Greenwich
TK,San Salvador
AG,Calgary
IE,Valletta
KR,Manila
NR,Cusco
FJ,Angra do Heroísmo
IT,Kobe
GS,City of Halifax
AZ,Shenzhen
NP,La Serena
CS,Anchorage
GF,Weno
TW,Patna
SJ,Semarang
GW,Alexandria
YT,Mogadishu
CF,Port Vila
SZ,Christchurch
PN,Milan
NO,Copenhagen
WF,Veracruz
ET,Tegucigalpa
SR,Sarajevo
BY,Strasbourg
MQ,Tamale
AO,Los Angeles
BV,Riyadh
WS,Luxembourg (city)
NO,Yaren District
PR,Invercargill
DK,Paramaribo
CV,Quito
ZW,Edmonton
GS,Rawalpindi
AI,Palikir
VI,Ibadan
IL,Taichung
UM,Conakry
KZ,Punta Arenas
MS,Bogor
CG,San Antonio
CL,Adelaide
CM,Innsbruck
TV,Pyongyang
UA,Zhengzhou
TJ,Miami
AW,Lima
CU,Palma
WS,Lusaka
MK,Columbus
SM,Makassar
PK,Naypyidaw
JO,Rabi Island
ET,Chaguanas
SO,Santiago
NI,City of Halifax
VC,Ürümqi
AL,Kabul
UZ,Yakutsk
FJ,Reykjavík
US,Innsbruck
MT,Gold Coast
TF,Ahmedabad
MP,Paris
SE,Pristina
BW,Avarua
UA,Gaborone
RW,Ipoh
OM,Macapá
JM,El Paso
GU,Medan
ZA,Cusco
MM,Cartagena
AT,Brazzaville
VI,Malabo
MQ,Tel Aviv
KP,Hamilton
MX,Cincinnati
SA,Newcastle
RE,The Valley
FI,Greenwich
US,Yerevan
AI,Nouméa
FK,Rawalpindi
MO,Udon Thani
FK,Ponta Delgada
TD,Portland
PA,Townsville
SG,Islamabad
SI,Birmingham
WF,Taipei
UZ,Konya
IM,Rabat
BH,Lilongwe
GT,Monrovia
DE,Dunedin
YT,Harbin
BZ,Ushuaia
NE,Hong Kong
JM,Assis
SE,Paramaribo
ET,Nantes
CR,Kuala Lumpur
VG,Fortaleza
BI,Strasbourg
ET,George Town
MG,Porto-Novo
NI,Belgrade
MC,Melekeok
AN,Hat Yai
EH,Bridgetown
KZ,Chongjin
GB,Abidjan
CF,Zapopan
JM,Helsinki
YE,Rio de Janeiro
MW,Munich
BH,Lahore
AF,Sucre
AN,Taipei
CC,Ambon
EE,Ljubljana
RO,Ahmedabad
FI,Luxembourg (city)
BJ,Regina
NP,Kathmandu
BW,Dushanbe
AF,Brussels
FI,Gaborone
CM,Melekeok
GM,Campo Grande
YE,Split (city)
SN,Bratsk
SN,Makati City
AL,Baghdad
AS,Ibiza
TC,Milwaukee
KZ,Edinburgh
VA,Shijiazhuang
UG,Panama City
BF,Anchorage
BJ,Fairbanks
ML,Brikama
GH,Tashkent
MH,Dresden
PG,Guatemala City
VC,Buffalo
GA,Medan
AL,Nouakchott
ZA,Kiev
NG,Dalian
DK,Wollongong
SB,Campo Grande
SA,Ibadan
ET,Johannesburg
CX,Düsseldorf
FR,Arequipa
CM,Portland
BE,Nukulaelae
FJ,Jamestown
FJ,Malabo
KY,Mendoza
